PHASE 4: FOLDER REDESIGN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Folder Path,Folder Name,Depth Level,Parent Folder,
"/content/dam/s-vid/fi, (crxde, html, json)",fi,2,/content/dam/s-vid,"/content/dam/s-vid/fi, (crxde, html, json)"
"/content/dam/s-vid/am, (crxde, html, json)",am,2,/content/dam/s-vid,"/content/dam/s-vid/am, (crxde, html, json)"
"/content/dam/s-vid/ia, (crxde, html, json)",ia,2,/content/dam/s-vid,"/content/dam/s-vid/ia, (crxde, html, json)"
"/content/dam/s-vid/il, (crxde, html, json)",il,2,/content/dam/s-vid,"/content/dam/s-vid/il, (crxde, html, json)"
"/content/dam/s-vid/bd, (crxde, html, json)",bd,2,/content/dam/s-vid,"/content/dam/s-vid/bd, (crxde, html, json)"
"/content/dam/s-vid/grp, (crxde, html, json)",grp,2,/content/dam/s-vid,"/content/dam/s-vid/grp, (crxde, html, json)"
"/content/dam/s-vid/sf, (crxde, html, json)",sf,2,/content/dam/s-vid,"/content/dam/s-vid/sf, (crxde, html, json)"
"/content/dam/s-vid/rs, (crxde, html, json)",rs,2,/content/dam/s-vid,"/content/dam/s-vid/rs, (crxde, html, json)"
"/content/dam/s-vid/aff, (crxde, html, json)",aff,2,/content/dam/s-vid,"/content/dam/s-vid/aff, (crxde, html, json)"
"/content/dam/s-vid, (crxde, html, json)",s-vid,1,/content/dam,"/content/dam/s-vid, (crxde, html, json)"
"/content/dam/_CSS/securian_video, (crxde, html, json)",securian_video,2,/content/dam/_CSS,"/content/dam/_CSS/securian_video, (crxde, html, json)"
"/content/dam/_CSS/securian_email_link_share, (crxde, html, json)",securian_email_link_share,2,/content/dam/_CSS,"/content/dam/_CSS/securian_email_link_share, (crxde, html, json)"
"/content/dam/_CSS/_OOTB, (crxde, html, json)",_OOTB,2,/content/dam/_CSS,"/content/dam/_CSS/_OOTB, (crxde, html, json)"
"/content/dam/_CSS/securian_social_share, (crxde, html, json)",securian_social_share,2,/content/dam/_CSS,"/content/dam/_CSS/securian_social_share, (crxde, html, json)"
"/content/dam/_CSS, (crxde, html, json)",_CSS,1,/content/dam,"/content/dam/_CSS, (crxde, html, json)"
"/content/dam/_DMSAMPLE/dynamicmedia-interactive-video-product, (crxde, html, json)",dynamicmedia-interactive-video-product,2,/content/dam/_DMSAMPLE,"/content/dam/_DMSAMPLE/dynamicmedia-interactive-video-product, (crxde, html, json)"
