Unnamed: 0,Unnamed: 1,PHASE 2: METADATA SCHEMA,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Base Tab,Sub Category,Field Name,Label,Data Type,Is Mandatory,Is System-Managed,Namespace,Allowed Values
Basic,Metadata,dc:title,Title,String,False,False,dc,Field='dc:title' DataType='String'. Free Text
Basic,Metadata,dc:description,Description,String,False,False,dc,Field='dc:description' DataType='String'. Free Text
,,dc:format,Type,String,False,True,dc,Field='dc:format' DataType='String'. Free Text
Basic,Metadata,wcmLanguage,Language,String,False,False,,Field='wcmLanguage' DataType='String'. Free Text
Basic,Metadata,cq:tags,Tags,String,False,False,cq,Field='cq:tags' DataType='String'. Free Text
Basic,Metadata,cq:tags-security,Security Tags,String,False,False,cq,Field='cq:tags-security' DataType='String'. Free Text
Basic,Metadata,cq:tags-sitesection,Site/Section Tags,String,False,False,cq,Field='cq:tags-sitesection' DataType='String'. Free Text
,,predictedTags,Smart Tags,String,False,True,,Field='predictedTags' DataType='String'. Free Text
Basic,Metadata,jcr:created,Created,Date,False,True,jcr,Field='jcr:created' DataType='Date'. Free Text
Basic,Metadata,xmp:CreatorTool,Creator Tool,String,False,False,xmp,Field='xmp:CreatorTool' DataType='String'. Free Text
Basic,Metadata,dam:status,Review Status,String,False,True,dam,Field='dam:status' DataType='String'. Free Text
Basic,Metadata,wcmApiClient,API Client,String,False,True,,Field='wcmApiClient' DataType='String'. Free Text
Basic,Schedule (de)activation,onTime,On Time,Date,False,False,,Field='onTime' DataType='Date'. Free Text
Basic,Schedule (de)activation,offTime,Off Time,Date,False,True,,Field='offTime' DataType='Date'. Free Text
Advanced,License,dc:creator,Creator,String,False,False,dc,Field='dc:creator' DataType='String'. Free Text
Advanced,License,dc:contributor,Contributor,String,False,False,dc,Field='dc:contributor' DataType='String'. Free Text
Advanced,License,dc:rights,Copyright,String,False,False,dc,Field='dc:rights' DataType='String'. Free Text
Advanced,License,xmpRights:Owner,Copyright Owner,String,False,False,xmpRights,Field='xmpRights:Owner' DataType='String'. Free Text
Advanced,License,xmpRights:UsageTerms,Usage Terms,String,False,False,xmpRights,Field='xmpRights:UsageTerms' DataType='String'. Free Text
Advanced,License,prism:expirationDate,Expires,Date,False,False,prism,Field='prism:expirationDate' DataType='Date'. Free Text
Advanced,License,wcmFuturePublishDate,Workfront Future Publish Date,Date,False,True,,Field='wcmFuturePublishDate' DataType='Date'. Free Text
Advanced,License,jcr:uuid,ID,String,False,True,jcr,Field='jcr:uuid' DataType='String'. Free Text
Advanced,License,dam:search_promote,Promote Search,String,False,False,dam,Field='dam:search_promote' DataType='String'. Free Text
Securian,Asset Info,dam:relativePath,Asset Name,String,False,True,dam,Field='dam:relativePath' DataType='String'. Free Text
Securian,Asset Info,colorSpace,Color Space,String,False,True,,Field='colorSpace' DataType='String'. Free Text
Securian,Asset Info,friendlyTitle,Asset Display Name,String,False,False,,Field='friendlyTitle' DataType='String'. Free Text
,,dc:subject,,String,False,False,dc,Field='dc:subject' DataType='String'. Free Text
Securian,Asset Info,wcmAltText,Alt Text,String,False,False,,Field='wcmAltText' DataType='String'. Free Text
Securian,Asset Info,wcmCaption,Caption,String,False,False,,Field='wcmCaption' DataType='String'. Free Text
Securian,Asset Info,original,Date of First Use,Date,False,False,,Field='original' DataType='Date'. Free Text
Securian,Asset Info,revised,Revised Date,Date,False,False,,Field='revised' DataType='Date'. Free Text
Securian,Asset Info,wcmSKU,SKU,String,False,False,,Field='wcmSKU' DataType='String'. Free Text
Securian,Key Attributes,wcmAudience,Audience,String,False,False,,Field='wcmAudience' DataType='String'. Free Text
Securian,Key Attributes,wcmAdmasterNumber,Admaster Number,String,False,False,,Field='wcmAdmasterNumber' DataType='String'. Free Text
Securian,Key Attributes,wcmProductLine,Product Line,String,False,False,,Field='wcmProductLine' DataType='String'. Free Text
Securian,Key Attributes,wcmPublishUrl,Publish URL,String,False,True,,Field='wcmPublishUrl' DataType='String'. Free Text
Securian,Key Attributes,wcmRelativeUrl,Relative URL,String,False,True,,Field='wcmRelativeUrl' DataType='String'. Free Text
Securian,Key Attributes,wcmDocumentType,Document Type,String,False,False,,Field='wcmDocumentType' DataType='String'. Free Text
Securian,Key Attributes,xmpRights:WebStatement,Digital Rights Management URL,String,False,False,xmpRights,Field='xmpRights:WebStatement' DataType='String'. Free Text
Securian,Key Attributes,wcmAdditionalStateRestrictions,States Approved For Use,String,False,False,,Field='wcmAdditionalStateRestrictions' DataType='String'. Free Text
Securian,Key Attributes,wcmStatesExcluded,States Excluded,String,False,False,,Field='wcmStatesExcluded' DataType='String'. Free Text
Securian,Key Attributes,wcmChannelApprovals,Distribution Channel,String,False,False,,Field='wcmChannelApprovals' DataType='String'. Free Text
Securian,Key Attributes,wcmSpecificDistributors,Specific Distributors,String,False,False,,Field='wcmSpecificDistributors' DataType='String'. Free Text
Securian,Key Attributes,wcmDistributorsExcluded,Distributors Excluded,String,False,False,,Field='wcmDistributorsExcluded' DataType='String'. Free Text
Securian,Key Attributes,wcmFormNumber,Form Number,String,False,False,,Field='wcmFormNumber' DataType='String'. Free Text
Securian,Key Attributes,wcmMarketingOwner,Marketing Owner,String,False,False,,Field='wcmMarketingOwner' DataType='String'. Free Text
