Group Membership Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3
Group Name,Members,% of All Users,Group Category
everyone,1008,,System/Built-in
Adobe_AEM_WCM_Group,295,,Other
wf-workfront-users,260,,Workfront
Adobe_AEM_DAM_Edit_ALL,155,,DAM Role
Adobe_AEM_WCM_Securian_ReadOnly,68,,WCM ReadOnly
Adobe_AEM_DAM_ReadOnly,66,,DAM Role
Adobe_AEM_WCM_Sync_Author,48,,WCM Author
Adobe_AEM_WCM_Brand_Author,46,,WCM Author
Adobe_AEM_WCM_LifeBenefits_ReadOnly,42,,WCM ReadOnly
Adobe_AEM_WCM_Advisor_ReadOnly,33,,WCM ReadOnly
Adobe_AEM_WCM_Securian_Author,32,,WCM Author
Adobe_AEM_WCM_Advisor_Author,31,,WCM Author
Adobe_AEM_WCM_SecurianFunds_ReadOnly,30,,WCM ReadOnly
Adobe_AEM_DAM_Advisor_Edit,29,,DAM Role
Adobe_AEM_DAM_IS_Marketing_Access,26,,DAM Role
Adobe_AEM_WCM_SecurianAM_ReadOnly,25,,WCM ReadOnly
Adobe_AEM_WCM_Advisor_Approver,24,,WCM Approver
Adobe_AEM_WCM_Sync_ReadOnly,24,,WCM ReadOnly
Adobe_AEM_WCM_Brand_Approver,23,,WCM Approver
Adobe_AEM_WCM_SecurianAM_Author,23,,WCM Author
Adobe_AEM_WCM_SecurianConnect_ReadOnly,22,,WCM ReadOnly
Adobe_AEM_WCM_Securian_Approver,20,,WCM Approver
Adobe_AEM_WCM_SecurianFunds_Author,18,,WCM Author
Adobe_AEM_WCM_Sync_Approver,17,,WCM Approver
Adobe_AEM_WCM_LifeBenefits_Author,16,,WCM Author
Adobe_AEM_WCM_SecurianCanada_Approver,16,,WCM Approver
Adobe_AEM_WCM_SecurianConnect_Author,15,,WCM Author
Adobe_AEM_WCM_Promo_Approver,15,,WCM Approver
Adobe_AEM_WCM_Promo_Author,15,,WCM Author
Adobe_AEM_WCM_SecurianCanada_Author,15,,WCM Author
mac-default-2025_b2b_securianphotoshoot,15,,DAM Collection
mac-default-2025_b2b_securianphotoshoot-editor,14,,DAM Collection
Adobe_AEM_WCM_LifeBenefits_Approver,13,,WCM Approver
Adobe_AEM_WCM_AI_ReadOnly,12,,WCM ReadOnly
Adobe_AEM_DAM_Approver,12,,DAM Role
Adobe_AEM_WCM_SecurianAM_Approver,12,,WCM Approver
Adobe_AEM_WCM_Agency_Approver,11,,WCM Approver
Adobe_AEM_WCM_Agency_Author,11,,WCM Author
Adobe_AEM_WCM_SecurianFunds_Approver,11,,WCM Approver
Adobe_AEM_WCM_SalesHub_Approver,11,,WCM Approver
Adobe_AEM_WCM_SalesHub_Author,11,,WCM Author
Adobe_AEM_WCM_SecurianConnect_Approver,10,,WCM Approver
contributor,9,,System/Built-in
AEM Asset Link Users,9,,Adobe IMS/Asset Link
Adobe IMS Users,9,,Adobe IMS/Asset Link
